City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,dawei,14.0833,98.2,73.49,92,39,3.22,MM,1675617218
126,vardo,70.3705,31.1107,19.38,93,40,18.41,NO,1675617218
127,leh,34.1667,77.5833,8.85,54,100,0.43,IN,1675617219
128,voh,-20.9667,164.7,80.22,88,90,5.28,NC,1675617219
129,pevek,69.7008,170.3133,-38.29,100,74,2.66,RU,1675617219
130,tiksi,71.6872,128.8694,-29.2,100,100,3.2,RU,1675617220
131,klaksvik,62.2266,-6.589,45.52,92,100,33.51,FO,1675617220
132,thompson,55.7435,-97.8558,-6.47,96,82,3.33,CA,1675617218
133,samana,19.2056,-69.3369,79.02,83,75,11.5,DO,1675617221
134,auki,-8.7676,160.7034,76.66,95,100,14.25,SB,1675617221
135,trofors,65.5333,13.4063,37.27,96,100,5.55,NO,1675617221
136,sobolevo,54.4299,31.8996,23.38,94,100,8.25,RU,1675617222
137,codrington,-38.2667,141.9667,55.71,87,43,5.91,AU,1675617222
138,flinders,-34.5833,150.8552,70.18,79,96,3.0,AU,1675617222
139,majene,-3.5403,118.9707,77.86,83,100,6.6,ID,1675617223
140,tessalit,20.1986,1.0114,81.07,8,65,9.17,ML,1675617223
141,rio gallegos,-51.6226,-69.2181,59.0,28,5,41.54,AR,1675617223
142,moerai,-22.4333,-151.3333,79.7,74,38,14.61,PF,1675617224
143,cape town,-33.9258,18.4232,74.12,77,40,15.99,ZA,1675616991
144,tefe,-3.3542,-64.7114,89.71,62,40,5.75,BR,1675617224
145,georgetown,5.4112,100.3354,76.95,94,20,0.0,MY,1675617166
146,fairbanks,64.8378,-147.7164,-14.91,76,0,0.0,US,1675617025
147,longyearbyen,78.2186,15.6401,22.84,74,40,46.04,SJ,1675617225
148,hambantota,6.1241,81.1185,77.32,84,100,13.22,LK,1675617225
149,muroto,33.2833,134.15,49.33,58,9,3.83,JP,1675617226
150,antalaha,-14.9003,50.2788,76.59,91,100,6.67,MG,1675617226
151,lopsmarka,67.3134,14.4493,39.09,81,75,16.11,NO,1675617226
152,san jose,37.3394,-121.895,53.11,89,40,4.61,US,1675616937
153,narsaq,60.9167,-46.05,19.62,83,100,4.81,GL,1675617227
154,nyurba,63.2842,118.3319,-54.11,100,64,3.4,RU,1675617227
155,moville,42.4889,-96.0725,35.24,91,1,7.25,US,1675617228
